column name			datatype(size)


EMP_NAME 			VARCHAR2(30)
EMP_AGE 			NUMBER(4)
MARITAL_STATUS 			VARCHAR2(10)
EMP_ID 				NUMBER(10)
COMPANY 			VARCHAR2(20)
COMPANY_LOCATION 		VARCHAR2(20)
SPECIALIZATION 			VARCHAR2(20)
DESIGNATION_ID 			NUMBER(20)
PHONE_NO 			NUMBER(20)
BANK_BRANCH 			VARCHAR2(20)
EXPERIENCE 			NUMBER(5)
EDUCATION 			VARCHAR2(20)
VOTER_ID 			VARCHAR2(20)
PAN_CARD 			VARCHAR2(20)
HOUSING 			VARCHAR2(20)
Loan 				VARCHAR2(8)
LOAN_TYPE_ID 			NUMBER(10)
REWARD_POINTS 			NUMBER(5)
SAVINGS_ACCOUNT_NO 		NUMBER(20)
CD_ACC_NO 			NUMBER(20)
FD_ACC_NO 			NUMBER(20)
OD_ACC_NO 			NUMBER(20)
CURRENT_ACC_NO 			NUMBER(20)
BALANCE 			NUMBER(9)
CREDIT_CARD_NO 			NUMBER(20)
DEBIT_CARD_NO 			NUMBER(20)
INTERNET_BANKING 		VARCHAR2(80)
AVG_BALANCE_YEAR1 		NUMBER(20)
AVG_BALANCE_YEAR2 		NUMBER(20)
AVG_BALANCE_YEAR3 		NUMBER(20)
ADDRESS_OF_EMPLOYEES 		VARCHAR2(50)
ACCOUNT_OPENING_DATE 		DATE
account_type_id 		NUMBER(2)
account_type_name 		VARCHAR2(30)
bank_id 			NUMBER(5)
branch_location 		VARCHAR2(15)
location_id 			NUMBER(5)
location_name 			VARCHAR2(20)
company_id 			NUMBER(5)
company_name 			VARCHAR2(20)
designation_id 			NUMBER(5)
deisgnation_name 		VARCHAR2(20)
domain_id 			NUMBER(5)
domain_name 			VARCHAR2(20)
loan_type_id 			NUMBER(10)
loan_type_name			VARCHAR2(20)
rate_of_intrest 		DECIMAL(3,2)
person_id 			NUMBER(10)
name 				VARCHAR2(30)
age 				NUMBER(3)
marital_id 			NUMBER(10)
phone_number 			NUMBER(15)
income 				NUMBER(7)
housing 			VARCHAR2(10)
voter_id 			VARCHAR2(10)
pan_card 			VARCHAR2(10)
address 			VARCHAR2(40)
education_id 			NUMBER(5)
personal_id 			NUMBER(10)
emp_id 				NUMBER(10)
location_id 			NUMBER(10)
company_id 			NUMBER(10)
designation_id 			NUMBER(10)
domain_id 			NUMBER(10)
loan_tyoe_id 			NUMBER(10)
branch_id 			NUMBER(10)
CREDIT_CARD_NO 			NUMBER(20)
DEBIT_CARD_NO 			NUMBER(20)
experience 			NUMBER(5)
SAVINGS_ACCOUNT_NO 		NUMBER(20)
INTERNET_BANKING 		VARCHAR2(80)
REWARD_POINTS 			NUMBER(5)
personal_id 			NUMBER(10)
account_number 			NUMBER(15)
account_type_id 		NUMBER(5)
account_opening_date 		DATE
m_code 				NUMBER(10)
marital_status_name 		VARCHAR2(20)
education_id 			NUMBER(10)
education 			VARCHAR2(10)
